Instance Type,Region,vCpus,Memory,Network,Hourly Price
r5a.24xlarge,US East (N. Virginia),96,768 GiB,20 Gigabit,5.4240000000
r6i.metal,US East (N. Virginia),128,1024 GiB,50000 Megabit,8.0640000000
r5ad.8xlarge,US East (N. Virginia),32,256 GiB,Up to 10 Gigabit,0.0000000000
x2iedn.16xlarge,US East (N. Virginia),64,2048 GiB,50 Gigabit,13.3380000000
x2iezn.12xlarge,US East (N. Virginia),48,1536 GiB,100 Gigabit,10.0080000000
x2gd.medium,US East (N. Virginia),1,16 GiB,Up to 10 Gigabit,0.0835000000
p3.2xlarge,US East (N. Virginia),8,61 GiB,Up to 10 Gigabit,3.0600000000
c7g.medium,US East (N. Virginia),1,2 GiB,Up to 12500 Megabit,0.0000000000
r5b.xlarge,US East (N. Virginia),4,32 GiB,Up to 10 Gigabit,0.2980000000
m5.large,US East (N. Virginia),2,8 GiB,Up to 10 Gigabit,0.0960000000
m5.2xlarge,US East (N. Virginia),8,32 GiB,Up to 10 Gigabit,0.3840000000
g5g.16xlarge,US East (N. Virginia),64,128 GiB,25 Gigabit,2.7440000000
r5a.xlarge,US East (N. Virginia),4,32 GiB,Up to 10 Gigabit,0.2260000000
m5zn.12xlarge,US East (N. Virginia),48,192 GiB,100 Gigabit,3.9641000000
r7g.16xlarge,US East (N. Virginia),64,512 GiB,30 Gigabit,3.4272000000
c6a.16xlarge,US East (N. Virginia),64,128 GiB,25000 Megabit,0.0000000000
c6id.4xlarge,US East (N. Virginia),16,32 GiB,Up to 12500 Megabit,0.8064000000
z1d.3xlarge,US East (N. Virginia),12,96 GiB,Up to 10 Gigabit,1.1160000000
c6g.medium,US East (N. Virginia),1,2 GiB,Up to 10 Gigabit,0.0000000000
c6gn.12xlarge,US East (N. Virginia),48,96 GiB,75 Gigabit,2.0736000000
inf2.24xlarge,US East (N. Virginia),96,384 GiB,50 Gigabit,0.0000000000
m5n.24xlarge,US East (N. Virginia),96,384 GiB,100 Gigabit,5.7120000000
r5.8xlarge,US East (N. Virginia),32,256 GiB,10 Gigabit,2.0160000000
m6id.32xlarge,US East (N. Virginia),128,512 GiB,50000 Megabit,7.5936000000
c6id.2xlarge,US East (N. Virginia),8,16 GiB,Up to 12500 Megabit,0.4032000000
r5d.24xlarge,US East (N. Virginia),96,768 GiB,25 Gigabit,0.0000000000
c6g.2xlarge,US East (N. Virginia),8,16 GiB,Up to 10 Gigabit,0.2720000000
c6id.32xlarge,US East (N. Virginia),128,256 GiB,50000 Megabit,6.4512000000
m5a.large,US East (N. Virginia),2,8 GiB,Up to 10 Gigabit,0.0000000000
z1d.12xlarge,US East (N. Virginia),48,384 GiB,25 Gigabit,0.0000000000
c7g.8xlarge,US East (N. Virginia),32,64 GiB,15 Gigabit,1.1600000000
c7g.4xlarge,US East (N. Virginia),16,32 GiB,Up to 15 Gigabit,0.5800000000
x1e.xlarge,US East (N. Virginia),4,122 GiB,Up to 10 Gigabit,0.0000000000
g4dn.2xlarge,US East (N. Virginia),8,32 GiB,Up to 25 Gigabit,0.7520000000
x2idn.32xlarge,US East (N. Virginia),128,2048 GiB,100 Gigabit,0.0000000000
c5ad.24xlarge,US East (N. Virginia),96,192 GiB,20 Gigabit,4.1280000000
r6gd.4xlarge,US East (N. Virginia),16,128 GiB,Up to 10 Gigabit,0.9216000000
r6g.4xlarge,US East (N. Virginia),16,128 GiB,Up to 10 Gigabit,0.8064000000
m5ad.large,US East (N. Virginia),2,8 GiB,Up to 10 Gigabit,0.1030000000
i3en.xlarge,US East (N. Virginia),4,32 GiB,Up to 25 Gigabit,0.4520000000
r6idn.12xlarge,US East (N. Virginia),48,384 GiB,75000 Megabit,4.6893600000
c6gd.4xlarge,US East (N. Virginia),16,32 GiB,Up to 10 Gigabit,0.6144000000
g4ad.8xlarge,US East (N. Virginia),32,128 GiB,15 Gigabit,1.7340000000
c5a.8xlarge,US East (N. Virginia),32,64 GiB,10 Gigabit,1.2320000000
r6in.metal,US East (N. Virginia),128,1024 GiB,200000 Megabit,11.1571200000
c1.xlarge,US East (N. Virginia),8,7 GiB,High,0.5200000000
m7g.12xlarge,US East (N. Virginia),48,192 GiB,22500 Megabit,1.9584000000
is4gen.medium,US East (N. Virginia),1,6 GiB,Up to 25 Gigabit,0.0000000000
c5.large,US East (N. Virginia),2,4 GiB,Up to 10 Gigabit,0.0850000000
t4g.micro,US East (N. Virginia),2,1 GiB,Up to 5 Gigabit,0.0084000000
r5.16xlarge,US East (N. Virginia),64,512 GiB,20 Gigabit,4.0320000000
m5d.large,US East (N. Virginia),2,8 GiB,Up to 10 Gigabit,0.1130000000
g4dn.xlarge,US East (N. Virginia),4,16 GiB,Up to 25 Gigabit,0.5260000000
t4g.large,US East (N. Virginia),2,8 GiB,Up to 5 Gigabit,0.0000000000
c6in.12xlarge,US East (N. Virginia),48,96 GiB,75000 Megabit,2.7216000000
c5d.12xlarge,US East (N. Virginia),48,96 GiB,12 Gigabit,2.3040000000
c5n.9xlarge,US East (N. Virginia),36,96 GiB,50 Gigabit,0.0000000000
a1.medium,US East (N. Virginia),1,2 GiB,Up to 10 Gigabit,0.0000000000
g5g.xlarge,US East (N. Virginia),4,8 GiB,Up to 10 Gigabit,0.0000000000
t3a.nano,US East (N. Virginia),2,0.5 GiB,Up to 5 Gigabit,0.0047000000
m6id.16xlarge,US East (N. Virginia),64,256 GiB,25000 Megabit,3.7968000000
m7g.metal,US East (N. Virginia),64,256 GiB,30 Gigabit,2.6112000000
c6i.24xlarge,US East (N. Virginia),96,192 GiB,37500 Megabit,4.0800000000
c6a.24xlarge,US East (N. Virginia),96,192 GiB,37500 Megabit,0.0000000000
m6a.2xlarge,US East (N. Virginia),8,32 GiB,Up to 12500 Megabit,0.3456000000
